Session_ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Canal_Origen,Cupon_Aplicado,Nivel_Fidelidad,Gasto_Historico_USD
SESS_000001,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.0999770705,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False,Redes_Sociales,False,Silver,40.41
SESS_000002,0,0.0,0,0.0,2,64.0,0.0,0.0999770705,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False,Google_Ads,False,Bronze,174.74
SESS_000003,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.0999770705,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False,Redes_Sociales,False,Silver,150.7
SESS_000004,0,0.0,0,0.0,2,2.666666667,0.041666667500000004,0.0999770705,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False,Email_Marketing,False,Silver,166.43
SESS_000005,0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False,Organico,True,Silver,481.21
SESS_000006,0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False,Influencer,False,Silver,42.11
SESS_000007,0,0.0,0,0.0,1,0.0,0.041666667500000004,0.0999770705,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False,Redes_Sociales,True,Platinum,232.61
SESS_000008,1,0.0,0,0.0,0,0.0,0.041666667500000004,0.0999770705,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False,Redes_Sociales,False,Bronze,38.19
SESS_000009,0,0.0,0,0.0,2,37.0,0.0,0.0999770705,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False,Organico,False,Silver,7.07
SESS_000010,0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False,Google_Ads,False,Gold,35.4
SESS_000011,0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False,Google_Ads,True,Gold,133.02
SESS_000012,0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False,Influencer,False,Gold,365.92
SESS_000013,0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False,Email_Marketing,False,Bronze,293.93
