componente,varianza_explicada,varianza_acumulada
PC1,0.24989250811551864,0.24989250811551864
PC2,0.11017787988618322,0.3600703880017019
PC3,0.10712553752116066,0.46719592552286254
PC4,0.08222756794941509,0.5494234934722776
PC5,0.07716784279073821,0.6265913362630158
PC6,0.07346717146401383,0.7000585077270296
PC7,0.06988697025991362,0.7699454779869432
PC8,0.06452505566528009,0.8344705336522233
PC9,0.05791738499822,0.8923879186504433
PC10,0.053218422737775745,0.9456063413882191
PC11,0.022054695805622,0.9676610371938411
PC12,0.017504162587943673,0.9851651997817847
PC13,0.014834800218215196,0.9999999999999999
PC14,1.0238486733230533e-17,0.9999999999999999
PC15,0.0,0.9999999999999999
